recipient_name,cleaned_names
SAFEWAY INC.,SAFEWAY INC.
CHESTERFIELD COUNTY REPUBLICAN COMMITTEE,CHESTERFIELD COUNTY REPUBLICAN COMMITTEE
BRIO TUSCAN GRILL,BRIO TUSCAN GRILL
HYATT PLACE,HYATT PLACE
PADOW'S,PADOW'S
LANDSDOWNE,LANDSDOWNE
SRCP MEDIA,SRCP MEDIA
PACIFICO,PACIFICO
FINE MONDO,FINE MONDO
LEADERSHIP INSTITUTE,LEADERSHIP INSTITUTE
AMERICAN MEDICAL ASSOCIATION,AMERICAN MEDICAL ASSOCIATION
STEVENS SANDWICH SHOPPE,STEVENS SANDWICH SHOPPE
NAT'L C'TEE TO PRESERVE SOCIAL SECURITY & MEDICARE,NAT'L C'TEE TO PRESERVE SOCIAL SECURITY & MEDICARE
MONTMARTRE,MONTMARTRE
WILLIAMSBURG OCCASIONS,WILLIAMSBURG OCCASIONS
DEMOCRATIC SCC OF FREDERICK CNTY,DEMOCRATIC SCC OF FREDERICK CNTY
WEIS MARKETS,WEIS MARKETS
PAUL T. BANDHOLZ,PAUL T. BANDHOLZ
PETE'S NEW HAVEN PIZZA,PETE'S NEW HAVEN PIZZA
GROWLER'S GAITHERSBURG,GROWLER'S GAITHERSBURG
"HOGAN LOVELLS US, LLP","HOGAN LOVELLS US, LLP"
HOLSINGER'S MEAT MARKET,HOLSINGER'S MEAT MARKET
ALLEGANY COUNTY COMMISSIONERS,ALLEGANY COUNTY COMMISSIONERS
BRIAN L. TUPA,BRIAN L. TUPA
CITY OF GAITHERSBURG,CITY OF GAITHERSBURG
WESTIN WASHINGTON NATIONAL HARBOR,WESTIN WASHINGTON NATIONAL HARBOR
ANNE ARUNDLE COUNTY YOUNG DEMOCRATS,ANNE ARUNDLE COUNTY YOUNG DEMOCRATS
CUBANO'S RESTAURANT,CUBANO'S RESTAURANT
"NAVIGARE STRATEGY GROUP, LLC","NAVIGARE STRATEGY GROUP, LLC"
EMBASSY SUITES DC CONVENTION CENTER,EMBASSY SUITES DC CONVENTION CENTER
DCCC,DCCC
JALEO CRYSTAL CITY,JALEO CRYSTAL CITY
TAQUERIA WASHINGTON DC,TAQUERIA WASHINGTON DC
CONCORAN CATERING,CONCORAN CATERING
LAVANGA,LAVANGA
THE M GROUP,THE M GROUP
W HOTEL INC.,W HOTEL INC.
"ALL STAGE AND SOUND, INC.","ALL STAGE AND SOUND, INC."
CARROL'S CREEK CAFE,CARROL'S CREEK CAFE
CRUMBS,CRUMBS
BLANK  ROME LLP FED. PAC,BLANK  ROME LLP FED. PAC
TOWER TYSONS ACCOUNTING,TOWER TYSONS ACCOUNTING
FATT STERN CATERING CO.,FATT STERN CATERING CO.
ARLINGTON COUNTY FAIR,ARLINGTON COUNTY FAIR
CANTINA MARIA,CANTINA MARIA
JW MARRIOTT,JW MARRIOTT
PORTOFINO,PORTOFINO
WOO LAE OAK VIENNA VA,WOO LAE OAK VIENNA VA
ROTARY CLUB OF CAPE HENRY,ROTARY CLUB OF CAPE HENRY
CAPITOL SKYLINE HOTEL,CAPITOL SKYLINE HOTEL
"VETERANS OF FOREIGN WARS, GENERAL MACARTHUR MEMORIAL POST 392","VETERANS OF FOREIGN WARS, GENERAL MACARTHUR MEMORIAL POST 392"
"NAACP, NORFOLK","NAACP, NORFOLK"
AMERICAN COLLEGE OF PHYSICIANS SERVICES PAC (ACP PAC),AMERICAN COLLEGE OF PHYSICIANS SERVICES PAC (ACP PAC)
"GLOVER PARK PAC, INC.","GLOVER PARK PAC, INC."
SEASONS CULINARY SERVICES,SEASONS CULINARY SERVICES
DICKSTEIN SHAPIRO LLP,DICKSTEIN SHAPIRO LLP
"MINTZ, LEVIN, COHN, FERRIS, GLOVSKY AND POPEO PC","MINTZ, LEVIN, COHN, FERRIS, GLOVSKY AND POPEO PC"
THE GEORGE,THE GEORGE
"AMERICAN CHEMISTRY COUNCIL, INC.","AMERICAN CHEMISTRY COUNCIL, INC."
GRAPE + BEAN,GRAPE + BEAN
"ROCKINGHAM RENT ALL, INC.","ROCKINGHAM RENT ALL, INC."
DENNY'S RESTAURANT,DENNY'S RESTAURANT
SKYLAND RESORT,SKYLAND RESORT
FRESH MARKET,FRESH MARKET
CVILLEINFLATABLES.COM,CVILLEINFLATABLES.COM
SOUTHERN INN CATERING,SOUTHERN INN CATERING
SHENANDOAH COUNTY REPUBLICAN COMMITTEE,SHENANDOAH COUNTY REPUBLICAN COMMITTEE
HARRISONBURG CITY REPUBLICAN COMMITTEE,HARRISONBURG CITY REPUBLICAN COMMITTEE
ROANOKE CO. REPUBLICAN COMMITTEE,ROANOKE CO. REPUBLICAN COMMITTEE
WARREN COUNTY TEEN REPUBLICAN COMMITTEE,WARREN COUNTY TEEN REPUBLICAN COMMITTEE
"LAURA BELL CONSULTING, INC.","LAURA BELL CONSULTING, INC."
PRINCE GEORGE'S TRAP AND SKEET,PRINCE GEORGE'S TRAP AND SKEET
NATIONAL NURSES UNITED,NATIONAL NURSES UNITED
CHOP HOUSE,CHOP HOUSE
EDWARD MARC CHOCLATIER,EDWARD MARC CHOCLATIER
PENN STRATEGIES,PENN STRATEGIES
OORBEEK GROUP,OORBEEK GROUP
THE DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,THE DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE
THE LIAISON CAPITOL RESTAURANT,THE LIAISON CAPITOL RESTAURANT
CAPITAL YACHT CHARTERS,CAPITAL YACHT CHARTERS
PRINCE WM CO. REPUB COMM,PRINCE WM CO. REPUB COMM
BNSF RAILWAY COMPANY,BNSF RAILWAY COMPANY
R&M SEDAN SERVICES,R&M SEDAN SERVICES
TLF BEAUTIFUL WORKS,TLF BEAUTIFUL WORKS
ROBERT TRENT JONES GOLF COURSE,ROBERT TRENT JONES GOLF COURSE
"LOUDON, FAITH M","LOUDON, FAITH M"
ROCKLANDS BARBEQUE & GRILLING COMPANY,ROCKLANDS BARBEQUE & GRILLING COMPANY
RIPON SOCIETY,RIPON SOCIETY
ERICKSON AND COMPANY,ERICKSON AND COMPANY
SHERATON PENTAGON CITY,SHERATON PENTAGON CITY
BUSBOYS & POETS,BUSBOYS & POETS
ALEXANDRIA BRANCH NAACP,ALEXANDRIA BRANCH NAACP
ALEXANDRIA DEMOCRATIC COMMITTEE,ALEXANDRIA DEMOCRATIC COMMITTEE
FAIRFAX COUNTY DEMOCRATIC COMMITTEE - FEDERAL,FAIRFAX COUNTY DEMOCRATIC COMMITTEE - FEDERAL
HERTZ RENT A CAR,HERTZ RENT A CAR
"SOUTHEAST QSR, LLC","SOUTHEAST QSR, LLC"
CENTREVILLE LIQUORS,CENTREVILLE LIQUORS
PINEHURST WINE SHOPPE,PINEHURST WINE SHOPPE
PINGPONG DIM SUM,PINGPONG DIM SUM
PIERSONS,PIERSONS
RFD WASHINGTON,RFD WASHINGTON
AMERICAN RESORT DEVELOPMENT ASSOCIATION POLITICAL,AMERICAN RESORT DEVELOPMENT ASSOCIATION POLITICAL
THE WILLIARD HOTEL,THE WILLIARD HOTEL
HARRY RESERVE,HARRY RESERVE
SMITH WOLLENSKY,SMITH WOLLENSKY
UNIVERSITY WINE AND SPIRITS,UNIVERSITY WINE AND SPIRITS
J MACK SOUL FOOD CAFE,J MACK SOUL FOOD CAFE
JONES DAY SPECIAL FUNCTION,JONES DAY SPECIAL FUNCTION
W MILLAR & COMPANY 0WASHINGTON,W MILLAR & COMPANY 0WASHINGTON
CAPITAL Q TEXAN BBQ,CAPITAL Q TEXAN BBQ
ROBYN H. ALEXANDER,ROBYN H. ALEXANDER
INTERSTATE NATURAL GAS ASSOC. PAC,INTERSTATE NATURAL GAS ASSOC. PAC
ASSOCIATION OF AMERICAN RAILROADS POLITICAL ACTION COMMITTEE (RAIL PAC),ASSOCIATION OF AMERICAN RAILROADS POLITICAL ACTION COMMITTEE (RAIL PAC)
MOTHER'S MACAROONS,MOTHER'S MACAROONS
WHOLE FOOD,WHOLE FOOD
"DIAGEO NORTH AMERICA, INC. EMP. PPC","DIAGEO NORTH AMERICA, INC. EMP. PPC"
"GEORGIA STATE SOCIETY OF WASHINGTON, DC","GEORGIA STATE SOCIETY OF WASHINGTON, DC"
DISPAC,DISPAC
THYME & PLACE,THYME & PLACE
CHAT'S LIQUORS,CHAT'S LIQUORS
TORTILLA CAFE,TORTILLA CAFE
CONGRESSIONAL BLACK CAUCUS INSTITUTE,CONGRESSIONAL BLACK CAUCUS INSTITUTE
AQUA,AQUA
RAY'STHE STEAKS,RAY'STHE STEAKS
MARTINS,MARTINS
MELITO RESTAURANT,MELITO RESTAURANT
CHESTERFIELD CHAMBER OF COMMERCE,CHESTERFIELD CHAMBER OF COMMERCE
CULPEPER COUNTY DEMOCRATIC COMMITTEE PAC,CULPEPER COUNTY DEMOCRATIC COMMITTEE PAC
CHAMBER OF COMMERCE,CHAMBER OF COMMERCE
CHEF GEOFFS,CHEF GEOFFS
VILLAGE CAFE,VILLAGE CAFE
BACKYARD GRILL,BACKYARD GRILL
BONEFISH GRILL,BONEFISH GRILL
BRICK HOUSE DINER,BRICK HOUSE DINER
JOES INN,JOES INN
KITCHEN 64,KITCHEN 64
JOE'S INN,JOE'S INN
RIVERBOUND CAFE,RIVERBOUND CAFE
FLOOZIES PIE SHOP,FLOOZIES PIE SHOP
HAZEL RIVER INN,HAZEL RIVER INN
SHONEY'S,SHONEY'S
SERGIO ITALIAN RESTAURANT,SERGIO ITALIAN RESTAURANT
RAVEN'S NEST COFFEE,RAVEN'S NEST COFFEE
EXTRA BILLY'S BAR BQ,EXTRA BILLY'S BAR BQ
MARY ANGELAS PIZZERIA,MARY ANGELAS PIZZERIA
NICKS ROMAN TERRACE,NICKS ROMAN TERRACE
TJ'S RESTAURANT,TJ'S RESTAURANT
AMERICAN CHEMISTRY COUNCIL PAC,AMERICAN CHEMISTRY COUNCIL PAC
TWENTY FIRST CENTRUY GROUP,TWENTY FIRST CENTRUY GROUP
1ST & FRESH CATERING,1ST & FRESH CATERING
ADVANCED MEDICAL TECHNOLOGY ASSN PAC,ADVANCED MEDICAL TECHNOLOGY ASSN PAC
COWGIRL CREAMERY EAST,COWGIRL CREAMERY EAST
GORDON BIERSCH BREWERY,GORDON BIERSCH BREWERY
GRAND HYATT HOTEL,GRAND HYATT HOTEL
PENGUIN PAC,PENGUIN PAC
7-ELEVEN,7-ELEVEN
BEACON HOTEL AND CORPORATE QUARTERS,BEACON HOTEL AND CORPORATE QUARTERS
COOLAHAN IRISH PUB,COOLAHAN IRISH PUB
TOPS AMERICAN FOOD COMPANY,TOPS AMERICAN FOOD COMPANY
TIMOTHY'S RIVERFRONT GRILL,TIMOTHY'S RIVERFRONT GRILL
THE MONOCLE RESTURANT CAPITOL HILL,THE MONOCLE RESTURANT CAPITOL HILL
YOLITAS,YOLITAS
"ALTRIA GROUP, INC. PAC","ALTRIA GROUP, INC. PAC"
ARISTOTLE,ARISTOTLE
BIRCH & BARLEY/CHURCHKEY,BIRCH & BARLEY/CHURCHKEY
TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS' INC,TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS' INC
ASHLAND COFFEE AND TEA,ASHLAND COFFEE AND TEA
CATERING BY JILL,CATERING BY JILL
KEAGONS IRISH PUB,KEAGONS IRISH PUB
CURTIS DRAPER TOBACCONIST,CURTIS DRAPER TOBACCONIST
INDIANA SOCIETY OF WASHINGTON,INDIANA SOCIETY OF WASHINGTON
ECKERT AND ASSOCIATES,ECKERT AND ASSOCIATES
BLUE DOG CAFE,BLUE DOG CAFE
WINTERGREEN REAL ESTATE CO,WINTERGREEN REAL ESTATE CO
POSTO RESTAURANT,POSTO RESTAURANT
PORK BARREL & CHOP,PORK BARREL & CHOP
FOOD MARKETING INSTITUTE POLITICAL ACTION COMMITTEE FOODPAC,FOOD MARKETING INSTITUTE POLITICAL ACTION COMMITTEE FOODPAC
THE EXCHANGE,THE EXCHANGE
FRESHMAN HOLD'EM,FRESHMAN HOLD'EM
RUTH CHRIS STEAK HOUSE,RUTH CHRIS STEAK HOUSE
"JW MARRIOTT WASHINGTON, DC","JW MARRIOTT WASHINGTON, DC"
BEACON BAR & GRILL,BEACON BAR & GRILL
EZME,EZME
FABULOUSLY FRESH,FABULOUSLY FRESH
TALAY THAI REST,TALAY THAI REST
HARRIS CRAB HOUSE,HARRIS CRAB HOUSE
SHAMROCK FESTIVAL MANAGEMENT,SHAMROCK FESTIVAL MANAGEMENT
"J.C. ENTERPRISES, INC., DBA HUNAN DYNASTY RESTAURANT","J.C. ENTERPRISES, INC., DBA HUNAN DYNASTY RESTAURANT"
HYATT REGENCY WASHINGTON ON CAPITOL HILL,HYATT REGENCY WASHINGTON ON CAPITOL HILL
CONGRESSIONAL BLACK CAUCUS PAC,CONGRESSIONAL BLACK CAUCUS PAC
CITY OF RICHMOND PARKS AND RECREATION,CITY OF RICHMOND PARKS AND RECREATION
FORT LEE COMMISSARY,FORT LEE COMMISSARY
JW MARRIOTT HOTELS,JW MARRIOTT HOTELS
A2 RESTAURANT,A2 RESTAURANT
LA TASCA,LA TASCA
PORK BARRELL BBQ,PORK BARRELL BBQ
MOMIJI,MOMIJI
CONGRESSIONALDELI,CONGRESSIONALDELI
"WE, THE PIZZA WASHINGTON DC","WE, THE PIZZA WASHINGTON DC"
FERGUSON & ASSOCIATES,FERGUSON & ASSOCIATES
HOEVEN FOR SENATE,HOEVEN FOR SENATE
HILL'S KITCHEN,HILL'S KITCHEN
THE BEAN BAG DELI & CATERING CO.,THE BEAN BAG DELI & CATERING CO.
NAFI,NAFI
OSTERIO 177,OSTERIO 177
OLIVES,OLIVES
CACIQUE,CACIQUE
ENGINEERING SOCIETY OF BALTIMORE,ENGINEERING SOCIETY OF BALTIMORE
ROLAND'S OF CAPITOL HILL,ROLAND'S OF CAPITOL HILL
AFGHAN RESTAURANT,AFGHAN RESTAURANT
HANK''S OYSTER BAR,HANK''S OYSTER BAR
NATIONAL COMMITTEE TO PRESERVE SOCIAL SECURITY & M,NATIONAL COMMITTEE TO PRESERVE SOCIAL SECURITY & M
MCG DLC,MCG DLC
JW MARRIOTT WASHINGTON DC,JW MARRIOTT WASHINGTON DC
GEORGIA BROWN'S RESTARAUNT,GEORGIA BROWN'S RESTARAUNT
AIR CONDITIONING CONTRACTORS OF AMERICA PAC,AIR CONDITIONING CONTRACTORS OF AMERICA PAC
COREY'S KITCHEN,COREY'S KITCHEN
WE THE PIZZA / GOOD STUFF EATERY,WE THE PIZZA / GOOD STUFF EATERY
CAUTHEN FORBES AND WILLIAMS,CAUTHEN FORBES AND WILLIAMS
CHESAPEAKE BAY ROASTING CO,CHESAPEAKE BAY ROASTING CO
LIAISON HOTEL CAPITOL HILL,LIAISON HOTEL CAPITOL HILL
AQUA AI2 RESTAURANT,AQUA AI2 RESTAURANT
PRINCE GEORGES TRAP AND SHOT,PRINCE GEORGES TRAP AND SHOT
MCDERMOTT WILL & EMERY LLP PAC,MCDERMOTT WILL & EMERY LLP PAC
ATLANTIC MARKETING GROUP,ATLANTIC MARKETING GROUP
THE SEVERN INN,THE SEVERN INN
ONEILL CLUB OF TOWSON,ONEILL CLUB OF TOWSON
SHERATON HOTEL,SHERATON HOTEL
HONEYGO WINE & SPIRITS,HONEYGO WINE & SPIRITS
PAPA JOHNS PIZZA,PAPA JOHNS PIZZA
ALDO'S,ALDO'S
BOWL OF CHERRIES,BOWL OF CHERRIES
WARD 8 DEMOCRATS,WARD 8 DEMOCRATS
BEST WESTERN,BEST WESTERN
MICHELLE'S KITCHEN,MICHELLE'S KITCHEN
LA FONTAINE BLEU,LA FONTAINE BLEU
HOWARD COUNTY NAACP,HOWARD COUNTY NAACP
ARMANDS PIZZA,ARMANDS PIZZA
ALQUA AL 2,ALQUA AL 2
MARRIOTT WATERSIDE,MARRIOTT WATERSIDE
CAPITAL PARTY RENTALS,CAPITAL PARTY RENTALS
THE RITZ CARLTON-WASHINGTON DC,THE RITZ CARLTON-WASHINGTON DC
FOUR SEASONS BOURBON STEAK,FOUR SEASONS BOURBON STEAK
1789,1789
WASHINGTON WIZARDS,WASHINGTON WIZARDS
FEDEXKINKO'S,FEDEXKINKO'S
MOLLY MALONES RESTAURANT,MOLLY MALONES RESTAURANT
CHADWICKS RESTAURANT - GEORGETOWN,CHADWICKS RESTAURANT - GEORGETOWN
BOURBON STEAK,BOURBON STEAK
THE SOURCE BY WOLFGANG PUCK,THE SOURCE BY WOLFGANG PUCK
GANDELS LIQUORS,GANDELS LIQUORS
HANA TOKYO,HANA TOKYO
HOUSE CONSERVATIVES FUND,HOUSE CONSERVATIVES FUND
LA COTE D'OR CAFE,LA COTE D'OR CAFE
"CASSIDY & ASSOCIATES, INC. POLITICAL ACTION COMMITTEE","CASSIDY & ASSOCIATES, INC. POLITICAL ACTION COMMITTEE"
WESTIN TYSONS CORNER,WESTIN TYSONS CORNER
HARRY BROWNES,HARRY BROWNES
THE BEAN BAG DELI AND CATERING CO.,THE BEAN BAG DELI AND CATERING CO.
A WORLD OF SPLENDOR,A WORLD OF SPLENDOR
CREIGHTON FARMS CLUB,CREIGHTON FARMS CLUB
HOWARD COUNTY DEMOCRATIC CENTRAL COMMITTEE,HOWARD COUNTY DEMOCRATIC CENTRAL COMMITTEE
MAIN INGREDIENT,MAIN INGREDIENT
MD/DC AFL-CIO,MD/DC AFL-CIO
ACRA-AMERICAN COLLEGE OF RADIOLOGY ASSOCIATION PAC,ACRA-AMERICAN COLLEGE OF RADIOLOGY ASSOCIATION PAC
MICHEL RICHARD CITRONELLE,MICHEL RICHARD CITRONELLE
THE HAMILITON,THE HAMILITON
CHARLIE PALMER SUITE,CHARLIE PALMER SUITE
"MORGAN, MERIDITH & ASSOCIATES","MORGAN, MERIDITH & ASSOCIATES"
MR. MIKE GOSS,MR. MIKE GOSS
ACQUA AL D. C.,ACQUA AL D. C.
MAMA STELLAS RESTAURANT,MAMA STELLAS RESTAURANT
BUCK DISTRIBUTING,BUCK DISTRIBUTING
MISSION OF LOVE,MISSION OF LOVE
ACQUA AL 2 D.C,ACQUA AL 2 D.C
RUPLI & ASSOCIATES,RUPLI & ASSOCIATES
SOUTHBOUND BBQ & SWEETS LLC,SOUTHBOUND BBQ & SWEETS LLC
TRACY HAMILTON CATERING,TRACY HAMILTON CATERING
BULL & BONES BREWHAUSE,BULL & BONES BREWHAUSE
FINCASTLE COUNTRY CLUB,FINCASTLE COUNTRY CLUB
KROGER - SALEM,KROGER - SALEM
MARENE LOPRETE,MARENE LOPRETE
US HOUSE OF REPRESENTATIVE,US HOUSE OF REPRESENTATIVE
"ALERO, INC.","ALERO, INC."
"AKIN, GUMP, STRAUSS, HAUER & FELD LLP CIVIC ACTION COMMITTEE","AKIN, GUMP, STRAUSS, HAUER & FELD LLP CIVIC ACTION COMMITTEE"
BADEAUX'S CAJUN KITCHEN LLC,BADEAUX'S CAJUN KITCHEN LLC
INTERNATIONAL NEIGHBORS CLUB,INTERNATIONAL NEIGHBORS CLUB
PALM TYSONS,PALM TYSONS
"LA FERLA, JOHN JAMES DR J DR.","LA FERLA, JOHN JAMES DR J DR."
"FMG, LLC","FMG, LLC"
JENNYS ASIAN FUSION,JENNYS ASIAN FUSION
TEDS MONTANA GRILL,TEDS MONTANA GRILL
BLACKSTONE TEXAS FESTIVAL,BLACKSTONE TEXAS FESTIVAL
CHESTERFIELD COUNTY FAIR ASSOCIATION,CHESTERFIELD COUNTY FAIR ASSOCIATION
NATIONAL REPUBLICAN CONGRESSIONAL COMM.,NATIONAL REPUBLICAN CONGRESSIONAL COMM.
BALTIMORE COUNTY REPUBLICAN CENTRAL COMM,BALTIMORE COUNTY REPUBLICAN CENTRAL COMM
SHOPRITE,SHOPRITE
ROYAL FARMS,ROYAL FARMS
QUEEN ANNES CO. REPUBLICAN COMM.,QUEEN ANNES CO. REPUBLICAN COMM.
REPUBLICAN CLUB OF HARFORD CO. PAC,REPUBLICAN CLUB OF HARFORD CO. PAC
FISH FEAR US CHARTERS,FISH FEAR US CHARTERS
CAPT. BOB RITCHIES,CAPT. BOB RITCHIES
CAROLINE COUNTY REPUBLICAN CENTRAL COMM.,CAROLINE COUNTY REPUBLICAN CENTRAL COMM.
REPUBLICAN CLUB OF CECIL COUNTY,REPUBLICAN CLUB OF CECIL COUNTY
DORCHESTER CO. REPUBLICAN CENTRAL COMM.,DORCHESTER CO. REPUBLICAN CENTRAL COMM.
ASSOCIATION OF AMERICAN RAILROAD (RAILPAC),ASSOCIATION OF AMERICAN RAILROAD (RAILPAC)
BAYOU BAKERY,BAYOU BAKERY
CROWN PLAZA HAMILTON,CROWN PLAZA HAMILTON
DIXIE BONES CATERING,DIXIE BONES CATERING
BULL FEATHERS PUB,BULL FEATHERS PUB
"THE MONOCLE RESTAURANT, ON CAPITAL HILL","THE MONOCLE RESTAURANT, ON CAPITAL HILL"
HILTON WASHINGTON,HILTON WASHINGTON
DISTILLED SPIRITS COUNCIL OF THE UNITED STATES INC PAC,DISTILLED SPIRITS COUNCIL OF THE UNITED STATES INC PAC
BISTRO BIS (HOTEL GEORGE),BISTRO BIS (HOTEL GEORGE)
NATIONAL WOMAN'S PARTY- SEWALL BELMONT HOUSE,NATIONAL WOMAN'S PARTY- SEWALL BELMONT HOUSE
BABIES R US,BABIES R US
OLD EBBITT GRILLE,OLD EBBITT GRILLE
ROOT & STEM,ROOT & STEM
ASSOCIATED GEN CONTRACTORS OF AMERICA,ASSOCIATED GEN CONTRACTORS OF AMERICA
WESTOVER MARKET,WESTOVER MARKET
ARLINGTON CITY DEMOCRATS,ARLINGTON CITY DEMOCRATS
MASA 14,MASA 14
WILD BUNCH MEDIA,WILD BUNCH MEDIA
MARKEL CORPORATION,MARKEL CORPORATION
DISTRICT COMMONS & BTS RESTAURANT,DISTRICT COMMONS & BTS RESTAURANT
SPOTSYLVANIA COUNTY GOP,SPOTSYLVANIA COUNTY GOP
ACACIA,ACACIA
BEN FRANKLIN,BEN FRANKLIN
THE RITZ-CARLTON,THE RITZ-CARLTON
MIMSLYN INN,MIMSLYN INN
"EXHIBITS, INC.","EXHIBITS, INC."
P.O.V. ROOF TERRACE AND LOUNGE,P.O.V. ROOF TERRACE AND LOUNGE
SUFFOLK PEANUT FEST,SUFFOLK PEANUT FEST
RUTHS CHRIS STEAK,RUTHS CHRIS STEAK
NORFOLK WHOLESALE FLORIST,NORFOLK WHOLESALE FLORIST
BETHANY BAPTIST CHURCH,BETHANY BAPTIST CHURCH
AMELIA COUNTY FAIR ASSOCIATION,AMELIA COUNTY FAIR ASSOCIATION
CHESTERFIELD TRADING COMPANY,CHESTERFIELD TRADING COMPANY
CHESAPEAKE HUMANE SOCIETY,CHESAPEAKE HUMANE SOCIETY
AMERICAN CHEMISTRY COUNCIL,AMERICAN CHEMISTRY COUNCIL
BRACEPAC,BRACEPAC
THE CAUCAS ROOM,THE CAUCAS ROOM
REAGAN NATIONAL AIRPORT - SOUTH PIER,REAGAN NATIONAL AIRPORT - SOUTH PIER
HMS HOST,HMS HOST
FIREWORKS PIZZA,FIREWORKS PIZZA
FRESHMAN HOLDEM PAC,FRESHMAN HOLDEM PAC
PI ON WHEELS,PI ON WHEELS
CHRIS SHANK,CHRIS SHANK
AYSE MEZE LOUNGE,AYSE MEZE LOUNGE
CARROLL'S CARRY OUT,CARROLL'S CARRY OUT
FINANCE DEPARTMENT,FINANCE DEPARTMENT
THE BLACK OLIVE,THE BLACK OLIVE
BILL BATEMANS,BILL BATEMANS
BAGUETTES EXPRESS,BAGUETTES EXPRESS
"BCAACA, INC.","BCAACA, INC."
BELLWETHER CONSULTING SERVICES,BELLWETHER CONSULTING SERVICES
THE MONTGOMERY COUNTY YOUNG DEMOCRATS,THE MONTGOMERY COUNTY YOUNG DEMOCRATS
BEST DEMOCRATIC CLUB,BEST DEMOCRATIC CLUB
ROMNEY VICTORY TAMPA FLORIDA,ROMNEY VICTORY TAMPA FLORIDA
CHICK FIL A - WASHINGTON,CHICK FIL A - WASHINGTON
CONVENTION 2012 LLC,CONVENTION 2012 LLC
U S HOUSE MEMBERS DINING,U S HOUSE MEMBERS DINING
"AT&T SERVICES, INC","AT&T SERVICES, INC"
MONYA BALDWIN,MONYA BALDWIN
THIRSTY BERNIE,THIRSTY BERNIE
ROBISON INTERNATIONAL,ROBISON INTERNATIONAL
REVIVE,REVIVE
CAPITOL VISITOR CENTER RESTAURANT,CAPITOL VISITOR CENTER RESTAURANT
MARRIOTT RANCH,MARRIOTT RANCH
MARTIN'S,MARTIN'S
ARMAND CHICAGO PIZZERIA,ARMAND CHICAGO PIZZERIA
US SENATE GIFT SHOP,US SENATE GIFT SHOP
DEMOCRATIC NATIONAL COMMITTEE - TRAVEL OFFSET ACCOUNT,DEMOCRATIC NATIONAL COMMITTEE - TRAVEL OFFSET ACCOUNT
ANGERHOLZER TEAM,ANGERHOLZER TEAM
OLD GLORY BBQ,OLD GLORY BBQ
OCCASIONS CATERERS INC.,OCCASIONS CATERERS INC.
MILITARY ORDER OF THE PURPLE HEART,MILITARY ORDER OF THE PURPLE HEART
MEHLMAN VOGEL CASTAGNETTI INC.,MEHLMAN VOGEL CASTAGNETTI INC.
W. MILLER & COMPANY,W. MILLER & COMPANY
DEL FRISCOS,DEL FRISCOS
HILL COUNTRY WASHINGTON,HILL COUNTRY WASHINGTON
BGR GROUP,BGR GROUP
BEN'S CHILI BOWL,BEN'S CHILI BOWL
FAMOUS DAVE'S BAR-B-QUE,FAMOUS DAVE'S BAR-B-QUE
TIFFANY AND COMPANY,TIFFANY AND COMPANY
MARTIN'S INC.,MARTIN'S INC.
SIMPLE PLEASURES ICE CAFE,SIMPLE PLEASURES ICE CAFE
COMMITTEE TO PRESERVE SOCIAL SECURITY AND MED,COMMITTEE TO PRESERVE SOCIAL SECURITY AND MED
B SMITHS RESTAURANT,B SMITHS RESTAURANT
WASHINGTON NATIONALS PARK,WASHINGTON NATIONALS PARK
"LORI SILVERMAN, LLC","LORI SILVERMAN, LLC"
"REID POLITICAL CONSULTING, LLC","REID POLITICAL CONSULTING, LLC"
HARRY BROWNE'S,HARRY BROWNE'S
MAC AND BOB'S,MAC AND BOB'S
"ALPHA NATURAL RESOURCES, INC. POLITICAL ACTION COMMITTEE","ALPHA NATURAL RESOURCES, INC. POLITICAL ACTION COMMITTEE"
HOTEL ROANOKE,HOTEL ROANOKE
VIRGINIA STATE PARKS & RECREATION,VIRGINIA STATE PARKS & RECREATION
PARTY CENTRAL,PARTY CENTRAL
PARK PLACE DRIVE IN,PARK PLACE DRIVE IN
SALEM CIVIC CENTER,SALEM CIVIC CENTER
NEW CLIENTS PROMO,NEW CLIENTS PROMO
FARM FRESH,FARM FRESH
STEINHILBERS RESTURANT,STEINHILBERS RESTURANT
THE GOURMET GANG,THE GOURMET GANG
TRADITIONS REVOLUTIONARY CATERING & EVEN,TRADITIONS REVOLUTIONARY CATERING & EVEN
VIRGINIA DINER,VIRGINIA DINER
WATERMANS GRILL,WATERMANS GRILL
3 AMIGOS RESTAURANT,3 AMIGOS RESTAURANT
APPLEBEES,APPLEBEES
MRS. KIM PROSSER,MRS. KIM PROSSER
LUNA MAYA,LUNA MAYA
RIVER STONE CHOPHOUSE,RIVER STONE CHOPHOUSE
BAKERS CRUST,BAKERS CRUST
THE CHESAPEAKE BAY CATERING,THE CHESAPEAKE BAY CATERING
CHESAPEAKE VA WINE FESTIVAL,CHESAPEAKE VA WINE FESTIVAL
CORNER BAKER,CORNER BAKER
HRC BOX OFFICE,HRC BOX OFFICE
CAPITOL HILL STRATEGIES,CAPITOL HILL STRATEGIES
